model,config,MAP,MRR,P@10,R@10,F1@10,NDCG@10
bm25,no_sw_no_stem,0.2505390670164384,0.4864593935597758,0.2062222222222222,0.3394034603645026,0.2323549580700005,0.2897124465216894
vector,no_sw_no_stem,0.2449803410440599,0.4859423643430773,0.1995555555555555,0.3198281704535575,0.2230408537268678,0.2828674057444593
bm25,no_sw_stem,0.2748042547330457,0.5124409762188552,0.2155555555555555,0.3661697835474925,0.2451682702805577,0.3132257258654568
vector,no_sw_stem,0.2646052555510522,0.5033332100148686,0.2168888888888888,0.3648175021095558,0.2454183090475765,0.3071612111091165
bm25,sw_no_stem,0.260945800460278,0.4926181344534132,0.2177777777777777,0.3569121808512933,0.2452838099207072,0.3025084136202842
vector,sw_no_stem,0.2494607895443291,0.4823731107270775,0.2093333333333333,0.3382932609186479,0.2339085202105744,0.2919479021562616
bm25,sw_stem,0.2884888388740943,0.5249291520848696,0.2213333333333333,0.3696603873518219,0.2506928049714465,0.3221592389830973
vector,sw_stem,0.2734456269589806,0.5133278027061922,0.2204444444444444,0.3682426145787859,0.2489630735646148,0.3130273098399999
