query_id,AP_vec,AP_bm25,diff
145,0.5899404462940374,0.1616079995216477,-0.4283324467723897
77,0.5447751322751323,0.1855824201025439,-0.3591927121725884
178,0.4754901960784313,0.1826970443349753,-0.292793151743456
191,0.6323045177797854,0.3612078116526635,-0.27109670612712183
144,0.6688492063492064,0.4135327635327635,-0.2553164428164429
17,0.509090909090909,0.2565789473684211,-0.25251196172248797
146,0.8333333333333333,0.5833333333333333,-0.25
148,0.4140586271250692,0.1888437950937951,-0.2252148320312741
95,0.5138888888888888,0.3269230769230769,-0.1869658119658119
14,0.25,0.0709401709401709,-0.1790598290598291
86,0.75,0.5833333333333333,-0.16666666666666674
102,0.5189276331502269,0.3752480158730158,-0.14367961727721112
49,0.2549261083743842,0.1120481927710843,-0.14287791560329988
92,0.6218607375229953,0.4798472990300904,-0.14201343849290493
110,0.2873244810744811,0.1497492203137364,-0.13757526076074472
65,0.3694131470422682,0.2350352585366145,-0.1343778885056537
67,0.6355041826150073,0.5033349960861789,-0.13216918652882836
21,0.18044244249828,0.0561924555287387,-0.12424998696954132
24,0.4747474747474747,0.3537414965986394,-0.12100597814883529
168,0.238095238095238,0.1203703703703703,-0.1177248677248677
43,0.6443602693602694,0.5272087002609263,-0.1171515690993431
130,0.5365384615384615,0.4267884322678842,-0.10975002927057731
88,0.7579365079365079,0.6496031746031746,-0.10833333333333328
6,0.2747212931995541,0.1731573802541544,-0.10156391294539968
202,0.2892349943140043,0.197787315118916,-0.09144767919508828
58,0.1689354387007665,0.0853627500697908,-0.0835726886309757
174,0.1678962614637187,0.0929410765610261,-0.0749551849026926
39,0.1914418202213951,0.1168257980449673,-0.07461602217642781
197,0.8095238095238094,0.7380952380952381,-0.07142857142857129
183,0.6235455721309866,0.5536907613297404,-0.06985481080124623
137,0.2519230769230769,0.1823660714285714,-0.06955700549450552
219,0.1051318483533728,0.0379311674080269,-0.0672006809453459
82,0.3867082590612002,0.3213637274950879,-0.06534453156611231
101,0.7402777777777777,0.6763888888888889,-0.06388888888888877
37,0.138410619050308,0.0763106037841969,-0.062100015266111086
66,0.1535799168152109,0.0936512731312433,-0.05992864368396761
34,0.321506734006734,0.2632961945461945,-0.0582105394605395
99,0.2941593352883676,0.237892904197252,-0.056266431091115565
52,0.3988095238095238,0.346565934065934,-0.05224358974358978
209,0.1842724201078985,0.1332240003127584,-0.051048419795140076
59,0.2038027968036529,0.1569956477214542,-0.04680714908219871
210,0.3869522543059778,0.3424554781262098,-0.044496776179767994
1,0.2304897466025998,0.19067251583949,-0.03981723076310981
42,0.2231291025590833,0.1839643507676294,-0.0391647517914539
177,0.7642857142857142,0.7251948051948053,-0.039090909090908954
75,0.0590863607936778,0.0224666460871191,-0.0366197147065587
204,0.0789610565130378,0.0429615644813995,-0.0359994920316383
120,0.4560078647797945,0.4236748272724401,-0.03233303750735439
221,0.1649140258692956,0.1361625251828828,-0.0287515006864128
212,0.5421307606713162,0.5136482382720524,-0.028482522399263743
155,0.2703972252788507,0.2421856657701915,-0.028211559508659195
80,0.0449194730671243,0.017150890456517,-0.0277685826106073
114,0.0966138647196292,0.0692198368111289,-0.027394027908500304
60,0.5050133913625711,0.4796059113300492,-0.025407480032521856
45,0.205279426713791,0.180098003249821,-0.02518142346397001
159,0.1062267721900484,0.0821893615739869,-0.024037410616061503
41,0.8333333333333334,0.8095238095238094,-0.023809523809523947
57,0.0987304475883551,0.0752560543642615,-0.0234743932240936
127,0.143640059667273,0.1221591242001387,-0.021480935467134296
186,0.2358544802494873,0.2144865095899603,-0.021367970659527002
121,0.5279332736229289,0.5078671328671328,-0.020066140755796047
163,0.2857777777777777,0.2657210401891253,-0.020056737588652396
4,0.5476190476190477,0.5277777777777778,-0.019841269841269882
16,0.2193287037037037,0.1995269147167881,-0.01980178898691559
61,0.5730360934182591,0.5532828282828283,-0.019753265135430853
90,0.2070352896930569,0.1914997582046851,-0.015535531488371807
26,0.2542665935959516,0.2388847979054164,-0.015381795690535216
8,0.1847275515679487,0.1694948822265822,-0.015232669341366495
111,0.2534299034299034,0.2385141980088649,-0.014915705421038511
23,0.2240843749237508,0.2092766086310733,-0.014807766292677493
3,0.6725053232675184,0.6588010204081634,-0.013704302859355089
69,0.0597468814586571,0.0476043388915844,-0.0121425425670727
211,0.132598388861635,0.1213224390641607,-0.011275949797474302
32,0.0227571402141568,0.0134276473394006,-0.009329492874756198
125,0.2840233215936478,0.2750882571700648,-0.008935064423582995
10,0.2395492867798381,0.2308740396087665,-0.008675247171071598
94,0.4696785369923951,0.4628836657053778,-0.006794871287017279
62,0.039212427687645,0.0324637934545347,-0.006748634233110298
