model,config,MAP,MRR,P@10,R@10,F1@10,NDCG@10
vector,no_sw_no_stem,0.24498034104405997,0.48594236434307736,0.19955555555555557,0.3198281704535575,0.22304085372686788,0.28286740574445934
vector,sw_no_stem,0.2494607895443291,0.4823731107270775,0.20933333333333337,0.3382932609186479,0.23390852021057448,0.29194790215626165
vector,no_sw_stem,0.2646052555510522,0.5033332100148686,0.21688888888888888,0.3648175021095558,0.24541830904757653,0.3071612111091165
vector,sw_stem,0.2734456269589806,0.5133278027061922,0.22044444444444442,0.36824261457878593,0.24896307356461483,0.31302730983999993
bm25,no_sw_no_stem,0.25053906701643847,0.48645939355977585,0.20622222222222222,0.33940346036450264,0.2323549580700005,0.2897124465216894
bm25,sw_no_stem,0.26094580046027804,0.4926181344534132,0.21777777777777776,0.35691218085129334,0.24528380992070728,0.30250841362028424
bm25,no_sw_stem,0.27480425473304576,0.5124409762188552,0.21555555555555556,0.3661697835474925,0.24516827028055777,0.3132257258654568
bm25,sw_stem,0.2884888388740943,0.5249291520848696,0.22133333333333333,0.3696603873518219,0.2506928049714465,0.32215923898309734
